.0 507.00
805220.00 508.00 508.00
806848.00 508.00 508.00
808472.00 508.00 505.00
810100.00 508.00 503.00
811728.00 508.00 500.00
813364.00 507.00 498.00
814992.00 508.00 499.00
816616.00 508.00 500.00
818252.00 508.00 501.00
819880.00 508.00 503.00
821516.00 509.00 504.00
823144.00 508.00 505.00
824768.00 508.00 507.00
826396.00 508.00 508.00
828024.00 508.00 506.00
829652.00 508.00 504.00
831280.00 508.00 500.00
832904.00 508.00 498.00
834524.00 508.00 498.00
836152.00 508.00 499.00
837780.00 508.00 501.00
839408.00 508.00 502.00
841036.00 508.00 504.00
842664.00 508.00 505.00
844288.00 508.00 507.00
845916.00 508.00 508.00
847544.00 507.00 506.00
849172.00 507.00 504.00
850800.00 508.00 502.00
852424.00 508.00 499.00
854052.00 508.00 498.00
855680.00 508.00 499.00
857308.00 508.00 501.00
858936.00 508.00 502.00
860560.00 508.00 503.00
862184.00 508.00 505.00
863808.00 507.00 505.00
865436.00 508.00 508.00
867064.00 507.00 507.00
868692.00 508.00 505.00
870320.00 509.00 503.00
871944.00 508.00 500.00
873580.00 507.00 498.00
875208.00 508.00 499.00
876836.00 508.00 500.00
878464.00 508.00 501.00
880088.00 508.00 502.00
881716.00 507.00 504.00
883344.00 509.00 506.00
884972.00 508.00 507.00
886600.00 507.00 507.00
888224.00 508.00 506.00
889848.00 508.00 503.00
891472.00 508.00 500.00
893100.00 507.00 498.00
894728.00 507.00 498.00
896364.00 508.00 499.00
897988.00 508.00 501.00
899616.00 508.00 502.00
901244.00 508.00 504.00
902872.00 508.00 505.00
904500.00 508.00 506.00
906128.00 508.00 508.00
907752.00 508.00 506.00
909380.00 508.00 504.00
911008.00 508.00 501.00
912636.00 507.00 498.00
914264.00 508.00 498.00
915888.00 508.00 499.00
917516.00 507.00 500.00
919144.00 509.00 502.00
920780.00 507.00 503.00
922408.00 508.00 505.00
924040.00 508.00 506.00
925664.00 507.00 507.00
927288.00 508.00 507.00
928916.00 509.00 504.00
930544.00 508.00 502.00
932172.00 509.00 499.00
933800.00 508.00 498.00
935424.00 508.00 499.00
937052.00 509.00 500.00
938680.00 508.00 502.00
940308.00 508.00 503.00
941936.00 508.00 505.00
943568.00 508.00 505.00
945204.00 508.00 508.00
946832.00 507.00 507.00
948464.00 508.00 505.00
950088.00 509.00 503.00
951720.00 508.00 500.00
953352.00 508.00 498.00
954976.00 508.00 499.00
956612.00 508.00 500.00
958240.00 508.00 501.00
959872.00 508.00 502.00
961504.00 508.00 504.00
963136.00 508.00 505.00
964764.00 508.00 507.00
966392.00 508.00 508.00
968032.00 508.00 506.00
969656.00 508.00 504.00
971280.00 508.00 501.00
972908.00 508.00 498.00
974536.00 508.00 499.00
976164.00 507.00 499.00
977792.00 508.00 501.00
979416.00 507.00 502.00
981052.00 508.00 503.00
982680.00 508.00 505.00
984320.00 508.00 506.00
985944.00 508.00 508.00
987568.00 508.00 506.00
989196.00 508.00 504.00
990824.00 508.00 502.00
992452.00 508.00 498.00
994080.00 508.00 498.00
995708.00 508.00 500.00
997336.00 508.00 500.00
998960.00 508.00 502.00
1000596.00 508.00 503.00
1002268.00 508.00 506.00
1003944.00 515.00 511.00
1005624.00 519.00 517.00
1007300.00 524.00 521.00
1008976.00 529.00 523.00
1010648.00 532.00 524.00
1012324.00 531.00 522.00
1014000.00 531.00 522.00
1015676.00 530.00 522.00
1017348.00 530.00 522.00
1019024.00 529.00 523.00
1020700.00 529.00 525.00
1022376.00 529.00 526.00
1024060.00 528.00 526.00
1025728.00 527.00 528.00
1027408.00 527.00 527.00
1029072.00 527.00 524.00
1030744.00 526.00 520.00
1032424.00 526.00 517.00
1034088.00 525.00 516.00
1035760.00 526.00 517.00
1037440.00 525.00 518.00
1039112.00 525.00 519.00
1040792.00 524.00 520.00
1042472.00 525.00 522.00
1044144.00 524.00 523.00
1045824.00 524.00 524.00
1047496.00 524.00 522.00
1049168.00 524.00 521.00
1050848.00 524.00 518.00
1052520.00 524.00 514.00
1054192.00 523.00 514.00
1055872.00 524.00 515.00
1057548.00 524.00 516.00
1059224.00 523.00 517.00
1060904.00 523.00 519.00
1062568.00 522.00 520.00
1064248.00 521.00 520.00
1065912.00 522.00 522.00
1067584.00 522.00 520.00
1069264.00 521.00 517.00
1070928.00 522.00 515.00
1072604.00 522.00 512.00
1074280.00 522.00 512.00
1075956.00 521.00 513.00
1077632.00 519.00 513.00
1079312.00 516.00 512.00
1080988.00 519.00 514.00
1082664.00 521.00 517.00
1084328.00 522.00 519.00
1086004.00 521.00 521.00
1087680.00 522.00 520.00
1089348.00 521.00 518.00
1091016.00 521.00 514.00
1092696.00 520.00 511.00
1094372.00 521.00 512.00
1096048.00 521.00 512.00
1097720.00 522.00 514.00
1099396.00 520.00 515.00
1101072.00 521.00 517.00
1102748.00 521.00 518.00
1104420.00 521.00 519.00
1106096.00 519.00 519.00
1107768.00 518.00 517.00
1109444.00 519.00 515.00
1111120.00 521.00 513.00
1112796.00 521.00 511.00
1114472.00 521.00 510.00
1116148.00 519.00 511.00
1117820.00 518.00 511.00
1119496.00 517.00 512.00
1121172.00 519.00 514.00
1122844.00 519.00 516.00
1124520.00 519.00 518.00
1126196.00 519.00 519.00
1127868.00 518.00 517.00
1129544.00 517.00 514.00
1131220.00 518.00 511.00
1132896.00 519.00 509.00
1134568.00 518.00 509.00
1136244.00 520.00 510.00
1137920.00 516.00 510.00
1139596.00 518.00 511.00
1141276.00 519.00 515.00
1142952.00 518.00 516.00
1144628.00 519.00 518.00
1146300.00 518.00 518.00
1147976.00 519.00 516.00
1149652.00 520.00 515.00
1151328.00 518.00 511.00
1153004.00 519.00 509.00
1154672.00 517.00 508.00
1156352.00 518.00 510.00
1158028.00 519.00 512.00
1159708.00 519.00 513.00
1161384.00 518.00 515.00
1163060.00 519.00 516.00
1164732.00 516.00 516.00
1166408.00 518.00 517.00
1168084.00 520.00 516.00
1169760.00 516.00 513.00
1171428.00 514.00 508.00
1173100.00 516.00 506.00
1174776.00 519.00 508.00
1176452.00 518.00 510.00
1178124.00 519.00 512.00
1179800.00 518.00 513.00
1181476.00 516.00 513.00
1183148.00 518.00 515.00
1184824.00 519.00 518.00
1186500.00 520.00 519.00
1188176.00 519.00 517.00
1189852.00 519.00 515.00
1191524.00 516.00 509.00
1193200.00 517.00 507.00
1194876.00 517.00 508.00
1196548.00 518.00 509.00
1198224.00 518.00 511.00
1199900.00 517.00 512.00
1201580.00 517.00 513.00
1203256.00 517.00 514.00
1204928.00 517.00 516.00
1206608.00 518.00 517.00
1208284.00 517.00 515.00
1209956.00 518.00 512.00
1211632.00 519.00 510.00
1213308.00 517.00 507.00
1214980.00 518.00 509.00
1216656.00 517.00 510.00
1218332.00 518.00 511.00
1220008.00 517.00 512.00
1221688.00 516.00 513.00
1223364.00 518.00 515.00
1225040.00 519.00 518.00
1226716.00 516.00 517.00
1228388.00 517.00 514.00
1230068.00 517.00 512.00
1231740.00 519.00 510.00
1233412.00 517.00 508.00
1235088.00 519.00 509.00
1236764.00 518.00 510.00
1238440.00 518.00 511.00
1240120.00 519.00 513.00
1241796.00 517.00 513.00
1243472.00 519.00 516.00
1245148.00 519.00 517.00
1246820.00 517.00 516.00
1248496.00 517.00 514.00
1250172.00 518.00 513.00
1251844.00 519.00 510.00
1253520.00 516.00 507.00
1255196.00 517.00 507.00
1256872.00 517.00 509.00
1258552.00 517.00 511.00
1260228.00 518.00 513.00
1261904.00 517.00 514.00
1263580.00 516.00 514.00
1265252.00 516.00 515.00
1266928.00 514.00 514.00
1268604.00 517.00 513.00
1270276.00 516.00 510.00
1271952.00 515.00 507.00
1273628.00 517.00 507.00
1275304.00 517.00 507.00
1276984.00 516.00 508.00
1278660.00 518.00 510.00
1280340.00 514.00 510.00
1282008.00 517.00 513.00
1283680.00 518.00 514.00
1285360.00 516.00 515.00
1287024.00 517.00 516.00
1288700.00 517.00 514.00
1290376.00 517.00 512.00
1292048.00 516.00 508.00
1293728.00 517.00 507.00
1295408.00 518.00 509.00
1297080.00 518.00 510.00
1298760.00 518.00 512.00
1300436.00 517.00 513.00
1302108.00 516.00 513.00
1303784.00 516.00 514.00
1305460.00 517.00 516.00
1307132.00 518.00 516.00
1308808.00 516.00 513.00
1310484.00 516.00 511.00
1312160.00 517.00 508.00
1313840.00 517.00 507.00
1315504.00 518.00 509.00
1317184.00 514.00 507.00
1318856.00 514.00 508.00
1320528.00 517.00 511.00
1322208.00 515.00 512.00
1323876.00 519.00 515.00
1325548.00 516.00 516.00
1327224.00 516.00 515.00
1328900.00 518.00 514.00
1330576.00 516.00 510.00
1332256.00 517.00 507.00
1333928.00 517.00 507.00
1335608.00 517.00 508.00
1337276.00 517.00 509.00
1338948.00 517.00 511.00
1340624.00 517.00 512.00
1342300.00 518.00 514.00
1343972.00 517.00 515.00
1345648.00 518.00 517.00
1347320.00 517.00 516.00
1349000.00 517.00 514.00
1350672.00 518.00 512.00
1352348.00 517.00 509.00
1354024.00 518.00 508.00
1355692.00 517.00 509.00
1357360.00 517.00 510.00
1359040.00 518.00 511.00
1360716.00 516.00 512.00
1362384.00 517.00 514.00
1364064.00 517.00 515.00
1365736.00 517.00 517.00
1367416.00 516.00 515.00
1369096.00 517.00 513.00
1370772.00 516.00 510.00
1372448.00 514.00 505.00
1374120.00 513.00 505.00
1375796.00 513.00 505.00
1377472.00 513.00 506.00
1379148.00 516.00 508.00
1380820.00 512.00 509.00
1382496.00 516.00 512.00
1384168.00 514.00 513.00
1385848.00 515.00 514.00
1387528.00 516.00 514.00
1389204.00 515.00 512.00
1390880.00 516.00 509.00
1392556.00 516.00 507.00
1394228.00 517.00 507.00
1395904.00 518.00 509.00
1397580.00 515.00 508.00
1399252.00 517.00 510.00
1400928.00 519.00 513.00
1402604.00 517.00 515.00
1404280.00 518.00 516.00
1405960.00 514.00 515.00
1407636.00 515.00 514.00
1409316.00 517.00 513.00
1410988.00 517.00 510.00
1412660.00 515.00 506.00
1414336.00 514.00 505.00
1416012.00 517.00 508.00
1417680.00 519.00 511.00
1419360.00 518.00 512.00
1421036.00 518.00 513.00
1422712.00 518.00 514.00
1424392.00 518.00 516.00
1426068.00 518.00 517.00
1427744.00 517.00 516.00
1429420.00 518.00 515.00
1431092.00 515.00 510.00
1432768.00 517.00 507.00
1434444.00 518.00 508.00
1436112.00 518.00 510.00
1437792.00 518.00 512.00
1439468.00 516.00 512.00
1441144.00 518.00 513.00
1442824.00 518.00 515.00
1444500.00 517.00 516.00
1446176.00 517.00 517.00
1447844.00 514.00 514.00
1449516.00 515.00 512.00
1451192.00 518.00 509.00
1452868.00 513.00 504.00
1454536.00 511.00 503.00
1456216.00 516.00 506.00
1457892.00 516.00 508.00
1459568.00 516.00 510.00
1461244.00 517.00 512.00
1462924.00 517.00 513.00
1464600.00 514.00 513.00
1466276.00 516.00 515.00
1467948.00 516.00 514.00
1469624.00 516.00 512.00
1471300.00 517.00 510.00
1472972.00 516.00 507.00
1474648.00 516.00 507.00
1476320.00 516.00 508.00
1478000.00 515.00 509.00
1479676.00 515.00 510.00
1481356.00 516.00 512.00
1483032.00 517.00 514.00
1484708.00 517.00 516.00
1486380.00 515.00 515.00
1488056.00 515.00 514.00
1489728.00 517.00 513.00
1491404.00 516.00 509.00
1493080.00 513.00 504.00
1494756.00 517.00 507.00
1496432.00 516.00 508.00
1498108.00 517.00 510.00
1499788.00 518.00 512.00
1501464.00 519.00 514.00
1503140.00 517.00 515.00
1504812.00 515.00 515.00
1506488.00 517.00 517.00
1508164.00 518.00 515.00
1509836.00 515.00 512.00
1511512.00 516.00 508.00
1513188.00 518.00 508.00
1514864.00 516.00 507.00
1516540.00 517.00 508.00
1518220.00 513.00 507.00
1519896.00 517.00 511.00
1521572.00 518.00 514.00
1523244.00 518.00 516.00
1524920.00 519.00 518.00
1526596.00 517.00 516.00
1528268.00 517.00 514.00
1529944.00 518.00 513.00
1531620.00 517.00 509.00
1533296.00 518.00 508.00
1534972.00 519.00 509.00
1536652.00 518.00 510.00
1538328.00 519.00 512.00
1539996.00 518.00 513.00
1541668.00 520.00 516.00
1543344.00 516.00 515.00
1545020.00 518.00 517.00
1546692.00 518.00 518.00
1548368.00 519.00 516.00
1550044.00 518.00 514.00
1551720.00 519.00 511.00
1553396.00 519.00 508.00
1555068.00 518.00 509.00
1556744.00 518.00 510.00
1558420.00 518.00 511.00
1560092.00 518.00 512.00
1561768.00 519.00 515.00
1563440.00 519.00 516.00
1565116.00 520.00 519.00
1566792.00 518.00 518.00
1568468.00 518.00 516.00
1570144.00 518.00 513.00
1571820.00 517.00 509.00
1573492.00 519.00 508.00
1575168.00 519.00 510.00
1576844.00 519.00 511.00
1578516.00 518.00 512.00
1580192.00 518.00 512.00
1581868.00 519.00 515.00
1583540.00 517.00 515.00
1585216.00 519.00 518.00
1586892.00 518.00 518.00
1588568.00 518.00 515.00
1590244.00 519.00 514.00
1591916.00 517.00 510.00
1593596.00 519.00 508.00
1595268.00 518.00 509.00
1596940.00 518.00 510.00
1598616.00 518.00 512.00
